noc,season,year,athletes,athletes_female_percentage,avg_age,agv_height,avg_weight,prev_medals,prev_gold_medals,sports,events,total_medals,km_cluster,ag_cluster
CHN,1,1932,1,0.0,22.0,175.0,70.0,0.0,0.0,1,2,0,0,0
CHN,1,1936,54,0.037037037037037,24.0,175.0,69.0,0.0,0.0,7,27,0,0,0
CHN,1,1948,31,0.032258064516129,26.0,175.0,70.0,0.0,0.0,6,12,0,0,0
CHN,1,1952,1,0.0,23.0,175.0,70.0,0.0,0.0,1,1,0,0,0
CHN,1,1984,215,0.386046511627907,23.0,173.0,66.0,0.0,0.0,19,105,32,0,0
CHN,1,1988,273,0.4542124542124542,23.0,172.0,66.0,32.0,15.0,25,150,28,1,2
CHN,1,1992,244,0.5204918032786885,23.0,171.0,66.0,28.0,5.0,23,144,53,1,2
CHN,1,1996,294,0.6224489795918368,23.0,171.0,66.0,53.0,16.0,25,155,50,1,2
CHN,1,2000,271,0.6642066420664207,23.0,171.0,65.0,50.0,16.0,28,163,58,1,2
CHN,1,2004,383,0.6449086161879896,23.0,173.0,67.0,58.0,28.0,31,204,63,2,1
CHN,1,2008,599,0.4824707846410684,24.0,177.0,70.0,63.0,32.0,34,257,100,2,1
CHN,1,2012,375,0.5733333333333334,24.0,176.0,69.0,100.0,51.0,29,206,88,2,1
CHN,1,2016,392,0.6147959183673469,24.0,175.0,68.0,88.0,38.0,32,209,70,2,1
DEN,1,1896,3,0.0,26.0,175.0,70.0,0.0,0.0,5,12,6,0,0
DEN,1,1900,13,0.0,32.0,175.0,70.0,6.0,1.0,5,14,7,0,0
DEN,1,1906,49,0.0,25.0,175.0,70.0,0.0,0.0,8,24,6,0,0
DEN,1,1908,78,0.0,26.0,175.0,71.0,6.0,3.0,8,27,5,0,0
DEN,1,1912,152,0.006578947368421,28.0,175.0,70.0,5.0,0.0,13,46,12,0,0
DEN,1,1920,154,0.0259740259740259,29.0,175.0,70.0,12.0,1.0,14,66,13,0,0
DEN,1,1924,89,0.1348314606741573,31.0,175.0,70.0,13.0,3.0,13,60,11,0,0
DEN,1,1928,91,0.0989010989010989,30.0,175.0,70.0,11.0,2.0,14,55,9,0,0
DEN,1,1932,43,0.1860465116279069,39.0,173.0,70.0,9.0,3.0,9,34,8,0,0
DEN,1,1936,121,0.1322314049586777,26.0,175.0,70.0,8.0,0.0,14,71,5,0,0
DEN,1,1948,162,0.1111111111111111,29.0,175.0,71.0,5.0,0.0,17,83,22,0,0
DEN,1,1952,129,0.1085271317829457,29.0,176.0,71.0,22.0,5.0,15,73,6,1,2
DEN,1,1956,37,0.1621621621621621,31.0,177.0,72.0,6.0,2.0,11,29,4,0,0
DEN,1,1960,100,0.12,26.0,176.0,71.0,4.0,1.0,15,46,6,0,0
DEN,1,1964,60,0.1166666666666666,25.0,178.0,73.0,6.0,2.0,10,40,6,0,0
DEN,1,1968,64,0.0625,27.0,177.0,72.0,6.0,2.0,11,53,8,0,0
DEN,1,1972,126,0.0952380952380952,27.0,181.0,75.0,8.0,1.0,17,73,1,0,0
DEN,1,1976,66,0.1515151515151515,27.0,178.0,72.0,1.0,1.0,15,40,3,0,0
DEN,1,1980,58,0.0517241379310344,27.0,182.0,79.0,3.0,1.0,13,30,5,0,0
DEN,1,1984,60,0.1833333333333333,26.0,183.0,78.0,5.0,2.0,11,33,6,0,0
DEN,1,1988,78,0.2692307692307692,24.0,182.0,74.0,6.0,0.0,15,73,4,0,0
DEN,1,1992,110,0.3,25.0,179.0,73.0,4.0,2.0,14,67,6,0,0
DEN,1,1996,119,0.5462184873949579,26.0,178.0,72.0,6.0,1.0,14,66,6,0,0
DEN,1,2000,97,0.4536082474226804,28.0,180.0,74.0,6.0,4.0,16,55,6,0,0
DEN,1,2004,92,0.4782608695652174,28.0,179.0,72.0,6.0,2.0,16,59,8,0,0
DEN,1,2008,84,0.238095238095238,27.0,184.0,78.0,8.0,2.0,16,62,7,0,0
DEN,1,2012,114,0.4210526315789473,27.0,181.0,75.0,7.0,2.0,17,69,9,0,0
DEN,1,2016,119,0.3445378151260504,27.0,181.0,75.0,9.0,2.0,16,67,15,0,0
NED,1,1900,35,0.0,31.0,175.0,70.0,0.0,0.0,7,18,7,0,0
NED,1,1906,16,0.0,26.0,175.0,70.0,0.0,0.0,2,8,3,0,0
NED,1,1908,113,0.0,26.0,176.0,71.0,3.0,0.0,11,45,2,0,0
NED,1,1912,33,0.0,28.0,175.0,70.0,2.0,0.0,7,14,3,0,0
NED,1,1920,130,0.0076923076923076,32.0,176.0,71.0,3.0,0.0,15,58,11,0,0
NED,1,1924,177,0.0508474576271186,30.0,175.0,70.0,11.0,4.0,17,81,11,1,0
NED,1,1928,266,0.1654135338345864,31.0,176.0,70.0,11.0,4.0,17,103,23,1,0
NED,1,1932,46,0.3260869565217391,38.0,176.0,71.0,23.0,8.0,9,29,8,1,2
NED,1,1936,165,0.1272727272727272,32.0,176.0,71.0,8.0,2.0,15,75,17,0,0
NED,1,1948,149,0.2281879194630872,29.0,176.0,71.0,17.0,6.0,18,74,16,1,2
NED,1,1952,104,0.25,26.0,175.0,71.0,16.0,5.0,14,57,5,1,0
NED,1,1956,1,0.0,67.0,175.0,70.0,5.0,0.0,1,1,0,0,0
NED,1,1960,110,0.2727272727272727,23.0,175.0,70.0,0.0,0.0,13,54,3,0,0
NED,1,1964,125,0.16,24.0,180.0,76.0,3.0,0.0,12,57,10,0,0
NED,1,1968,107,0.2336448598130841,24.0,179.0,75.0,10.0,2.0,11,52,7,0,0
NED,1,1972,119,0.2436974789915966,23.0,178.0,72.0,7.0,3.0,16,72,5,0,0
NED,1,1976,108,0.3333333333333333,23.0,176.0,69.0,5.0,3.0,11,58,5,0,0
NED,1,1980,75,0.24,24.0,183.0,78.0,5.0,0.0,10,56,3,0,0
NED,1,1984,136,0.3970588235294117,25.0,180.0,73.0,3.0,0.0,15,74,13,0,0
NED,1,1988,147,0.3673469387755102,26.0,181.0,75.0,13.0,5.0,17,86,9,1,0
NED,1,1992,201,0.417910447761194,26.0,181.0,74.0,9.0,2.0,20,105,15,0,0
NED,1,1996,239,0.4267782426778242,27.0,182.0,76.0,15.0,2.0,19,94,19,1,0
NED,1,2000,231,0.3636363636363636,28.0,182.0,76.0,19.0,4.0,21,95,25,1,2
NED,1,2004,210,0.3619047619047619,27.0,182.0,76.0,25.0,12.0,22,99,22,1,2
NED,1,2008,237,0.4135021097046413,27.0,181.0,76.0,22.0,4.0,20,98,16,1,2
NED,1,2012,173,0.4566473988439306,28.0,180.0,74.0,16.0,7.0,19,95,20,1,2
NED,1,2016,237,0.5569620253164557,27.0,178.0,71.0,20.0,6.0,23,122,19,1,2
